county,GEOID,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed,filing_rate,threat_rate,NAME,asian_hhs,asian_owner,asian_renter,black_hhs,black_owner,black_renter,latino_hhs,latino_owner,latino_renter,med_hh_inc,med_hh_inc_own,med_hh_inc_rent,nhw_hhs,nhw_owner,nhw_renter,owner_hhs,renter_hhs,total_hhs,total_pop,u_own,u_rent,cb_owner,p_cb_owner,cb_renter,p_cb_renter,prent,pown,prent_blk,prent_his,prent_nhw,prent_asian
Contra Costa County,06013,2016,136217,3209,0,,2.3557999368654428,,"Contra Costa County, California",54572,39175,15397,34866,14337,20529,70668,33955,36713,82881,104854,53634,213044,155540,57504,250055,137485,387540,1107925,250055,137485,82564,0.3301833596608746,72150,0.5413496601089453,0.354763379264076,0.645236620735924,0.5887971089313371,0.5195137827588159,0.2699160736749216,0.282141024701312
Contra Costa County,06013,2017,138343,2842,0,,2.054314276833667,,"Contra Costa County, California",56534,40889,15645,34321,14450,19871,71299,34990,36309,88456,109399,56864,211860,157218,54642,255201,134396,389597,1123678,255201,134396,81026,0.317498755882618,70062,0.537470752943884,0.3449615885132586,0.6550384114867415,0.5789749715917368,0.5092497790992861,0.25791560464457663,0.27673612339477127
Del Norte County,06015,2010,3793,134,0,,3.532823622462431,,"Del Norte County, California",167,75,92,63,49,14,892,435,457,36118,50880,23221,8070,5047,3023,6031,3875,9906,28471,6031,3875,2087,0.3460454319350025,2005,0.5743340017187052,0.39117706440541083,0.6088229355945891,0.2222222222222222,0.5123318385650224,0.37459727385377944,0.5508982035928144
Del Norte County,06015,2011,3800,162,0,,4.2631578947368425,,"Del Norte County, California",166,97,69,42,42,0,744,436,308,37588,51962,23528,8105,5048,3057,6034,3784,9818,28561,6034,3784,2049,0.3395757374875704,2152,0.6145059965733867,0.385414544713791,0.614585455286209,0,0.41397849462365593,0.3771745835903763,0.41566265060240964
Del Norte County,06015,2012,3808,134,0,,3.51890756302521,,"Del Norte County, California",172,121,51,93,78,15,800,366,434,39626,52753,25233,7875,4999,2876,6028,3675,9703,28496,6028,3675,2120,0.35169210351692104,2066,0.5993617638526255,0.37874884056477376,0.6212511594352262,0.16129032258064516,0.5425,0.3652063492063492,0.29651162790697677
Del Norte County,06015,2013,3815,112,0,,2.9357798165137616,,"Del Norte County, California",146,92,54,80,28,52,754,300,454,37909,50467,26638,7661,4918,2743,5774,3819,9593,28357,5774,3819,2018,0.3494977485278836,2146,0.5923268009936516,0.3981027832794746,0.6018972167205254,0.65,0.6021220159151194,0.3580472523169299,0.3698630136986301
Del Norte County,06015,2014,3822,117,0,,3.061224489795918,,"Del Norte County, California",186,67,119,220,130,90,712,272,440,39302,50248,25313,7505,4816,2689,5678,3849,9527,28066,5678,3849,1853,0.3263473053892216,1992,0.5593934288121314,0.40400965676498374,0.5959903432350163,0.4090909090909091,0.6179775280898876,0.3582944703530979,0.6397849462365591
Del Norte County,06015,2015,3830,110,0,,2.8720626631853787,,"Del Norte County, California",179,42,137,56,7,49,753,319,434,40847,50349,27010,7441,4941,2500,5704,3716,9420,27788,5704,3716,1826,0.32012622720897616,1821,0.5210300429184549,0.39447983014862,0.60552016985138,0.875,0.5763612217795485,0.3359763472651525,0.7653631284916201
Del Norte County,06015,2016,3837,133,0,,3.466249674224655,,"Del Norte County, California",186,66,120,64,24,40,825,348,477,42363,51417,28865,7345,4902,2443,5748,3695,9443,27628,5748,3695,1933,0.3362908837856646,1666,0.48599766627771296,0.3912951392565922,0.6087048607434078,0.625,0.5781818181818181,0.3326072157930565,0.6451612903225806
Del Norte County,06015,2017,3844,116,0,,3.0176899063475546,,"Del Norte County, California",191,77,114,61,35,26,902,433,469,41287,50763,27454,7446,4968,2478,5996,3687,9683,27442,5996,3687,2007,0.3347231487658439,1674,0.493223335297584,0.3807704223897552,0.6192295776102448,0.4262295081967213,0.5199556541019955,0.33279613215149073,0.5968586387434555
El Dorado County,06017,2010,18832,787,0,770,4.179056924384027,4.0887850467289715,"El Dorado County, California",2233,1744,489,394,280,114,5712,2936,2776,70000,82894,40803,58090,46011,12079,52353,16041,68394,179053,52353,16041,22045,0.42108379653506006,8336,0.5478083722152856,0.23453811737871744,0.7654618826212826,0.2893401015228426,0.48599439775910364,0.20793596143914617,0.21898790864308107
El Dorado County,06017,2011,19148,673,0,657,3.5147273866722375,3.4311677459786925,"El Dorado County, California",1974,1562,412,321,242,79,5947,2690,3257,68815,82041,41225,58535,45932,12603,51804,17008,68812,179878,51804,17008,21877,0.4223032970426994,8688,0.54483883105481,0.24716619194326572,0.7528338080567343,0.24610591900311526,0.5476710946695813,0.21530708123345008,0.20871327254305977
