state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
California,Solano County,6,6095,2017,57392,1842,0,NA
California,Sonoma County,6,6097,2010,73545,1865,0,NA
California,Sonoma County,6,6097,2011,74364,1785,0,NA
California,Sonoma County,6,6097,2012,75184,1483,0,NA
California,Sonoma County,6,6097,2013,76003,1221,0,NA
California,Sonoma County,6,6097,2014,76822,1200,0,NA
California,Sonoma County,6,6097,2015,77642,1165,0,NA
California,Sonoma County,6,6097,2016,78461,1133,0,NA
California,Sonoma County,6,6097,2017,79280,1081,0,NA
California,Stanislaus County,6,6099,2010,65816,3395,0,NA
California,Stanislaus County,6,6099,2011,66540,3268,0,NA
California,Stanislaus County,6,6099,2012,67265,2729,0,NA
California,Stanislaus County,6,6099,2013,67989,2511,0,NA
California,Stanislaus County,6,6099,2014,68713,2422,0,NA
California,Stanislaus County,6,6099,2015,69438,2210,0,NA
California,Stanislaus County,6,6099,2016,70162,2062,0,NA
California,Stanislaus County,6,6099,2017,70886,1743,0,NA
California,Sutter County,6,6101,2010,12225,436,0,NA
California,Sutter County,6,6101,2011,12319,478,0,469
California,Sutter County,6,6101,2012,12413,456,0,449
California,Sutter County,6,6101,2013,12507,444,0,442
California,Sutter County,6,6101,2014,12601,382,0,371
California,Sutter County,6,6101,2015,12695,320,0,NA
California,Sutter County,6,6101,2016,12789,331,0,NA
California,Sutter County,6,6101,2017,12883,327,0,NA
California,Tehama County,6,6103,2010,8404,399,0,NA
California,Tehama County,6,6103,2011,8485,363,0,NA
California,Tehama County,6,6103,2012,8566,352,0,351
California,Tehama County,6,6103,2013,8647,330,0,327
California,Tehama County,6,6103,2014,8727,294,0,290
California,Tehama County,6,6103,2015,8808,373,0,NA
California,Tehama County,6,6103,2016,8889,238,0,237
California,Tehama County,6,6103,2017,8970,266,0,NA
California,Trinity County,6,6105,2010,1799,29,0,29
California,Trinity County,6,6105,2011,1807,38,0,38
California,Trinity County,6,6105,2012,1814,25,0,25
California,Trinity County,6,6105,2013,1822,43,0,NA
California,Trinity County,6,6105,2014,1830,42,0,41
California,Trinity County,6,6105,2015,1837,50,0,NA
California,Trinity County,6,6105,2016,1845,35,0,35
California,Trinity County,6,6105,2017,1853,38,0,NA
California,Tulare County,6,6107,2010,53766,2316,0,NA
California,Tulare County,6,6107,2011,54592,2291,0,NA
California,Tulare County,6,6107,2012,55418,2164,0,NA
California,Tulare County,6,6107,2013,56244,1898,0,1875
California,Tulare County,6,6107,2014,57070,1920,0,NA
California,Tulare County,6,6107,2015,57896,1773,0,NA
California,Tulare County,6,6107,2016,58722,1728,0,NA
California,Tulare County,6,6107,2017,59548,1600,0,NA
