county_name,entity_id,year,revenues_govfunds,revenues_propfunds,total_revenues,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Del Norte,8,2018,71299268,7818820,79118088,71,472951,18421,458527,949970,39305072,16307507,15686689,0.060558987304459216,4.526130402661773e-6,06015,"Del Norte County, California",27424,5340,937,1841,758,1231,17,128,17172,0.6261668611435239,0.02764002333722287,0.19471995332555425,0.03478704784130689
Del Norte,8,2017,60739983,7798981,68538964,278,524017,19453,449365,993113,31489809,14010409,15239765,0.06516589986787855,1.8241751103117403e-5,06015,"Del Norte County, California",27442,5281,741,1965,484,1583,21,134,17233,0.6279790102762189,0.01763719845492311,0.1924422418191094,0.02776765541870126
El Dorado,9,2021,473616656,37081992,510698648,502505,699042,367917,2995926,4565390,114714534,106876582,252025540,0.018114791064429422,0.001993865383643261,06017,"El Dorado County, California",190568,25362,9145,632,1492,7913,280,381,145363,0.7627880861424793,0.007829226312917175,0.13308635237815372,0.04945741152764368
El Dorado,9,2020,417892908,44200651,462093559,429732,672286,361855,2814540,4278413,113339512,70130090,234423306,0.018250800541137324,0.0018331453784718827,06017,"El Dorado County, California",190345,24773,9023,864,1439,6579,439,309,146919,0.7718563660721321,0.007559956920328876,0.13014788935879587,0.049709737581759436
El Dorado,9,2019,401458745,45740797,447199542,382587,580321,276025,2943605,4182538,107133242,69835607,224489896,0.018631297330192535,0.0017042504220323572,06017,"El Dorado County, California",188563,24199,8487,1031,1426,5906,472,295,146747,0.7782385727846927,0.0075624592311323005,0.12833376643349967,0.04751197212602685
El Dorado,9,2018,330526534,2990074,333516608,373946,619198,207862,3265278,4466284,95159144,59937628,175429762,0.025459100833757044,0.0021315995401054015,06017,"El Dorado County, California",186661,23631,8237,939,1432,5852,396,184,145990,0.7821130284312202,0.0076716614611514996,0.12659848602546864,0.04624961829198387
El Dorado,9,2017,317643452,2954134,320597586,359591,678201,505980,3461372,5005144,85346374,58847382,173449696,0.028856458762545195,0.0020731716935381657,06017,"El Dorado County, California",185015,23279,7805,1054,1614,5579,322,209,145153,0.7845471988757668,0.0087236170040267,0.12582223062994893,0.0439261681485285
Fresno,10,2021,2032179519,289192638,2321372157,2457070,3884021,3027288,1678463,11046842,913381480,554815320,563982719,0.019587199443960267,0.004356640579974934,06019,"Fresno County, California",1003150,541344,104266,4340,42525,26229,1561,2945,279940,0.2790609579823556,0.04239146687933011,0.5396441210187908,0.1054946917210786
Fresno,10,2020,1781127000,272421000,2053548000,2987000,2148000,3300000,1541000,9976000,778589000,504736000,497802000,0.020040096263172907,0.006000377660194214,06019,"Fresno County, California",990204,528293,102986,4459,43660,23353,1305,1979,284169,0.2869802586133766,0.04409192449232684,0.5335193556075314,0.10532274157648323
Fresno,10,2019,1649011000,287285000,1936296000,3277000,3133000,3706000,5890000,16032000,804151000,372680000,472180000,0.03395315345842687,0.006940149942818417,06019,"Fresno County, California",984521,522364,99480,4651,44209,21228,1207,1732,289650,0.294203983459977,0.044904070101094845,0.5305767982602707,0.10227003791691594
