county_name,entity_id,year,revenues_govfunds,revenues_propfunds,expenditures_gov,expenditures_prop,total_revenues,total_expenditures,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,library,edu,police,corrections,fire,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi,fines_share_tot_rev,fines_per_cap,vehicle_fines_share_tot_rev,vehicle_fines_per_cap,police_share,corrections_share,fire_share,library_share,edu_share,police_per_1000,edu_per_1000
Placer,31,2010,,,,,463717707,507995721,275749,3521447,3276541,9755557,16829294,120673931,64319633,,,,5463472,5787412,51531755,46582250,8008705,06061,"Placer County, California",336477,41206,19406,2415,4220,7810,699,736,259985,0.7726679683901129,0.012541719047661505,0.12246305096633649,0.05975148375669065,0.03629210993230414,50.01617941196575,5.94648416132188e-4,0.8195181245672066,0.10144131706180258,0.0916981149138459,0.015765300117557488,0.010754956733188704,0.011392639269888653,153150.89887273125,17200.022586982173
Placer,31,2009,,,,,477231934,537147180,268989,4016117,3556280,6767044,14608430,127243422,64569862,,,,6002550,6316204,60559214,45884509,6988705,06061,"Placer County, California",332059,39178,17638,2291,4674,7431,810,827,259210,0.7806142884246474,0.014075811828620817,0.11798505687242328,0.0555563920869484,0.030610755398443223,43.993477062811124,5.636441755802537e-4,0.8100638741910323,0.1127423102174715,0.08542260056173058,0.013010782258970437,0.01117487017245441,0.011758795792244502,182374.86109396222,19021.330546679957
Placer,31,2008,,,,,522342070,478016059,339651,3867765,3012096,4473356,11692868,127654485,63205170,,,,5515028,5816247,53749731,44263310,6103155,,,,,,,,,,,,,,,,0.02238546092984622,,6.50246303155325e-4,,0.11244335830985126,0.09259795600298022,0.012767677748667435,0.011537327870401107,0.012167471971898752,,
Placer,31,2007,,,,,474944045,433792266,371910,3446983,2690273,3164384,9673550,129841084,65229051,,,,5002982,5285311,49480035,41353385,5513600,,,,,,,,,,,,,,,,0.020367767744092886,,7.830606655990391e-4,,0.11406389389155223,0.09532992688255995,0.01271023121468007,0.011533128624289488,0.012183967798079646,,
Placer,31,2006,,,,,430047103,404688064,297314,3026448,2353880,3324177,9001819,118518032,54095775,,,,4615646,4880816,45127633,39289582,4386378,,,,,,,,,,,,,,,,0.020932169841869623,,6.91352174973261e-4,,0.11151214234971853,0.09708609048573273,0.010838911226203103,0.011405441401899119,0.012060686820750907,,
Placer,31,2005,,,,,381471687,351285048,326666,3179744,2275490,3785836,9567736,112837917,48396219,,,,3781958,4029668,36880423,33189662,3730189,,,,,,,,,,,,,,,,0.02508111696373419,,8.563309182104517e-4,,0.10498716984959747,0.09448071356569665,0.010618695618379977,0.010766065967031993,0.011471219805518167,,
Placer,31,2004,,,,,328075312,304726783,383470,4349213,2068606,3876054,10677343,107570551,44335911,,,,3301324,3532482,32506718,29406470,3837017,,,,,,,,,,,,,,,,0.03254540225812542,,0.0011688474748749152,,0.10667496201014927,0.0965011007909994,0.012591663135826167,0.010833717888197572,0.011592292496324486,,
Placer,31,2003,,,,,304086629,297012595,334778,3617119,1467229,3461562,8880688,117721144,37491501,,,,3142223,3343718,50767361,16331995,1217746,,,,,,,,,,,,,,,,0.029204467257256485,,0.0011009296959255646,,0.17092662686577315,0.05498755027543529,0.004099981012589718,0.010579426774814044,0.011257832348826824,,
Plumas,32,2021,73797057,6884431,64559706,4922852,80681488,69482558,168,219548,4124,517860,741700,35562888,10468991,27765178,0.02671331694686056,6.0507445693306915e-6,585894,670582,7978809,4139866,,06063,"Plumas County, California",19631,1889,126,235,299,841,27,0,16214,0.825938566552901,0.015231012174621772,0.09622535785237635,0.007793795527482043,0.009192939029582597,37.7820793642708,2.0822620425642126e-6,0.008557893128215577,0.11483182585189221,0.059581370046854064,,0.008432245686752063,0.009651083945412602,406439.25424074166,34159.33981967297
Plumas,32,2020,62025012,5368208,62930721,4118445,67393220,67049166,530,289901,1193,602456,894080,29917946,6144606,25962460,0.03443741463636343,2.0414090190220802e-5,589330,660901,7861186,4518047,,06063,"Plumas County, California",18844,1749,217,204,254,754,29,136,15501,0.8225960517936743,0.013479091488006793,0.09281468902568457,0.013054553173423902,0.013266616434116073,47.44640203778391,7.864292580173494e-6,0.028125663341116536,0.11724509742596947,0.06738408946056093,,0.008789520215657865,0.00985696078605959,417171.8318828274,35072.224580768416
